title,url,weight,Processor manufacturer,Processor model,Processor series,min hertz, max hertz,cach mem,RAM,internal storage,internal_storage_hdd,internal storage type,GPU manufacturer,GPU model,GPU memory,screen size,screen refresh rate,battery,price
لپ تاپ 15.6 اینچی دل مدل Vostro 3520-i3 1215U 16GB 256SSD 1HDD - کاستوم شده,https://www.digikala.com/product/dkp-15645620/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%AF%D9%84-%D9%85%D8%AF%D9%84-vostro-3520-i3-1215u-16gb-256ssd-1hdd-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87/,1.66,Intel,1215U,Core i3,0.9,4.4,10,DDR4 ,256,1024,هیبریدی ,Intel ,UHD Graphics ,0,15.6,120,41,24549000
لپ تاپ 15.6 اینچی دل مدل Vostro 3520-i3 1215U 16GB 1SSD 1HDD - کاستوم شده,https://www.digikala.com/product/dkp-15645631/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%AF%D9%84-%D9%85%D8%AF%D9%84-vostro-3520-i3-1215u-16gb-1ssd-1hdd-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87/,1.66,Intel,1215U,Core i3,0.9,4.4,10,DDR4 ,1024,1024,هیبریدی ,Intel ,UHD Graphics ,0,15.6,120,41,26749000
لپ تاپ 15.6 اینچی دل مدل Vostro 3520-i3 1215U 20GB 512SSD - کاستوم شده,https://www.digikala.com/product/dkp-15645645/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%AF%D9%84-%D9%85%D8%AF%D9%84-vostro-3520-i3-1215u-20gb-512ssd-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87/,1.66,Intel,1215U,Core i3,0.9,4.4,10,DDR4 ,512,0,SSD ,Intel ,UHD Graphics ,0,15.6,120,41,23549000
لپ تاپ 15.6 اینچی دل مدل Vostro 3520-i3 1215U 20GB 256SSD 1HDD - کاستوم شده,https://www.digikala.com/product/dkp-15645657/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%AF%D9%84-%D9%85%D8%AF%D9%84-vostro-3520-i3-1215u-20gb-256ssd-1hdd-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87/,1.66,Intel,1215U,Core i3,0.9,4.4,10,DDR4 ,256,1024,هیبریدی ,Intel ,UHD Graphics ,0,15.6,120,41,24200000
لپ تاپ 15.6 اینچی دل مدل Vostro 3520-i3 1215U 20GB 1SSD 1HDD - کاستوم شده,https://www.digikala.com/product/dkp-15645668/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%AF%D9%84-%D9%85%D8%AF%D9%84-vostro-3520-i3-1215u-20gb-1ssd-1hdd-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87/,1.66,Intel,1215U,Core i3,0.9,4.4,10,DDR4 ,1024,1024,هیبریدی ,Intel ,UHD Graphics ,0,15.6,120,41,26949000
لپ تاپ 15.6 اینچی دل مدل Vostro 3520-i3 1215U 16GB 1SSD - کاستوم شده,https://www.digikala.com/product/dkp-15645617/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%AF%D9%84-%D9%85%D8%AF%D9%84-vostro-3520-i3-1215u-16gb-1ssd-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87/,1.66,Intel,1215U,Core i3,0.9,4.4,10,DDR4 ,1024,0,SSD ,Intel ,UHD Graphics ,0,15.6,120,41,25449000
لپ تاپ 15.6 اینچی دل مدل Vostro 3520-i3 1215U 16GB 256SSD 1HDD - کاستوم شده,https://www.digikala.com/product/dkp-15645620/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%AF%D9%84-%D9%85%D8%AF%D9%84-vostro-3520-i3-1215u-16gb-256ssd-1hdd-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87/,1.66,Intel,1215U,Core i3,0.9,4.4,10,DDR4 ,256,1024,هیبریدی ,Intel ,UHD Graphics ,0,15.6,120,41,24549000
لپ تاپ 15.6 اینچی دل مدل Vostro 3520-i3 1215U 16GB 1SSD 1HDD - کاستوم شده,https://www.digikala.com/product/dkp-15645631/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%AF%D9%84-%D9%85%D8%AF%D9%84-vostro-3520-i3-1215u-16gb-1ssd-1hdd-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87/,1.66,Intel,1215U,Core i3,0.9,4.4,10,DDR4 ,1024,1024,هیبریدی ,Intel ,UHD Graphics ,0,15.6,120,41,26749000
لپ تاپ 15.6 اینچی دل مدل Vostro 3520-i3 1215U 20GB 512SSD - کاستوم شده,https://www.digikala.com/product/dkp-15645645/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%AF%D9%84-%D9%85%D8%AF%D9%84-vostro-3520-i3-1215u-20gb-512ssd-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87/,1.66,Intel,1215U,Core i3,0.9,4.4,10,DDR4 ,512,0,SSD ,Intel ,UHD Graphics ,0,15.6,120,41,23549000
لپ تاپ 15.6 اینچی دل مدل Vostro 3520-i3 1215U 20GB 256SSD 1HDD - کاستوم شده,https://www.digikala.com/product/dkp-15645657/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%AF%D9%84-%D9%85%D8%AF%D9%84-vostro-3520-i3-1215u-20gb-256ssd-1hdd-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87/,1.66,Intel,1215U,Core i3,0.9,4.4,10,DDR4 ,256,1024,هیبریدی ,Intel ,UHD Graphics ,0,15.6,120,41,24200000
